epsd,date,jo,num,bonus
1,20200507,4,162132,278239
2,20200514,2,450558,154457
3,20200521,4,544955,059369
4,20200528,4,124420,221097
5,20200604,4,754655,190779
6,20200611,5,193202,206460
7,20200618,2,597093,482595
8,20200625,4,234058,548682
9,20200702,3,133510,213240
10,20200709,2,770173,064263
11,20200716,1,867654,485530
12,20200723,5,076676,611004
13,20200730,1,669245,880089
14,20200806,3,432496,451009
15,20200813,4,477238,146282
16,20200820,4,664056,657985
17,20200827,3,317227,031708
18,20200903,1,562222,881980
19,20200910,5,859219,411936
20,20200917,1,819605,555687
21,20200924,1,239937,552317
22,20201001,1,913622,362104
23,20201008,4,158071,726990
24,20201015,2,002989,967939
25,20201022,3,463637,386750
26,20201029,3,192856,561714
27,20201105,5,412008,967142
28,20201112,5,080839,378856
29,20201119,4,355192,126078
30,20201126,3,487215,157190
31,20201203,1,771598,997863
32,20201210,1,579176,349043
33,20201217,4,596219,641687
34,20201224,4,977686,832226
35,20201231,1,542454,116423
36,20210107,4,735757,252663
37,20210114,3,453877,466566
38,20210121,3,307836,162480
39,20210128,1,199137,320718
40,20210204,2,631086,585802
41,20210211,1,742714,698335
42,20210218,4,974231,892243
43,20210225,4,589839,890546
44,20210304,3,668818,799181
45,20210311,2,318754,494221
46,20210318,4,010963,710817
47,20210325,4,941327,524495
48,20210401,1,779363,788642
49,20210408,4,305248,191235
50,20210415,3,592111,176570
51,20210422,2,510012,088185
52,20210429,2,597227,297625
53,20210506,5,649638,580357
54,20210513,5,627054,932535
55,20210520,1,477879,495719
56,20210527,1,993174,677799
57,20210603,2,272286,230295
58,20210610,5,939327,551924
59,20210617,2,159056,973521
60,20210624,5,216510,029163
61,20210701,3,575862,602610
62,20210708,4,014073,572879
63,20210715,4,335226,791181
64,20210722,5,676003,855524
65,20210729,4,732375,020321
66,20210805,4,990834,364914
67,20210812,3,807531,137560
68,20210819,5,191075,218776
69,20210826,4,775530,033385
70,20210902,1,248672,946377
71,20210909,1,159486,881938
72,20210916,2,114687,047913
73,20210923,1,501026,222247
74,20210930,2,256789,832659
75,20211007,3,658340,766103
76,20211014,1,890966,949325
77,20211021,5,436305,294693
78,20211028,2,515884,917998
79,20211104,5,408379,067084
80,20211111,1,641358,983274
81,20211118,1,971511,600139
82,20211125,4,935053,768102
83,20211202,3,136128,806794
84,20211209,4,580148,775986
85,20211216,5,338407,167750
86,20211223,5,950320,094504
87,20211230,4,740942,511955
88,20220106,2,329695,565110
89,20220113,4,585449,106050
90,20220120,5,235858,408032
91,20220127,3,586054,554710
92,20220203,4,487381,878068
93,20220210,4,180249,831894
94,20220217,1,807121,481216
95,20220224,5,841331,997309
96,20220303,2,330481,101248
97,20220310,1,783688,397712
98,20220317,4,707437,981617
99,20220324,3,202997,660276
100,20220331,4,419399,484136
101,20220407,4,068561,656267
102,20220414,3,030569,844643
103,20220421,4,786276,763443
104,20220428,2,689922,739545
105,20220505,1,180506,051630
106,20220512,5,307695,979966
107,20220519,3,192750,896659
108,20220526,3,605195,714758
109,20220602,3,164115,673876
110,20220609,5,542980,364714
111,20220616,1,393588,543825
112,20220623,3,802007,279142
113,20220630,3,248855,458693
114,20220707,2,699286,002905
115,20220714,2,749063,738687
116,20220721,2,641770,215051
117,20220728,4,269117,349900
118,20220804,1,929977,378112
119,20220811,4,088257,484266
